day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : temp
5.23금,삼성 라이온즈,11,2,1,5,0,1,1,대구,24.8,0,49,,,,
5.24토,삼성 라이온즈,7,3,3,4,0,0,1,대구,28.9,0,41,,,,
5.25일,삼성 라이온즈,23,2,0,7,2,0,1,대구,22,0,60,,,,
5.27화,삼성 라이온즈,8,0,0,9,1,0,0,서울,27,0,40,,,,
5.28수,삼성 라이온즈,12,1,1,1,1,0,1,서울,26.9,0,59,,,,
5.29목,삼성 라이온즈,8,1,4,5,2,0,1,서울,28.7,0,33,,,,
6.3화,삼성 라이온즈,9,0,2,3,1,1,1,대구,21,0,78,,,,
6.4수,삼성 라이온즈,13,3,4,6,1,1,1,대구,22.6,0,61,,,,
6.5목,삼성 라이온즈,17,1,4,6,0,2,0,대구,21,0,81,,,,
6.6금,삼성 라이온즈,6,0,2,2,0,1,0,대전,27.6,0,54,,,,
6.7토,삼성 라이온즈,11,1,0,2,0,0,1,대전,25.4,0,69,,,,
