day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,,,,
9.22일,키움 히어로즈,7,1,7,2,1,0,1,서울,24.3,0,47,,,,,,,,,
9.25수,키움 히어로즈,7,0,0,9,1,1,0,서울,21.4,0,44,,,,,,,,,
9.28토,키움 히어로즈,9,1,1,8,0,1,1,서울,18.5,0.1,79,,,,,,,,,
9.29일,키움 히어로즈,12,4,1,6,0,0,1,서울,19,0,83,,,,,,,,,
10.1화,키움 히어로즈,4,1,0,8,0,0,0,창원,24,0,74,,,,,,,,,
10.2수,키움 히어로즈,6,0,1,5,2,1,1,창원,22.6,0,71,,,,,,,,,
10.3목,키움 히어로즈,8,1,0,9,0,1,0,인천,18.3,0,68,,,,,,,,,
10.4금,키움 히어로즈,15,0,3,13,0,1,1,광주,22.5,0,38,,,,,,,,,
10.5토,키움 히어로즈,1,0,3,12,0,0,0,대전,21.6,0,70,,,,,,,,,
10.8화,키움 히어로즈,8,1,1,5,1,0,1,서울,19.3,0.5,84,,,,,,,,,
10.9수,키움 히어로즈,5,0,2,8,0,1,1,서울,23.6,0,49,,,,,,,,,
10.11금,키움 히어로즈,10,1,0,12,2,0,0,서울,17.2,0,43,,,,,,,,,
10.12토,키움 히어로즈,8,0,1,2,1,0,0,서울,18.8,0,57,,,,,,,,,
10.14월,키움 히어로즈,8,2,0,13,1,0,0,서울,20.5,0,58,,,,,,,,,
4.1화,키움 히어로즈,13,2,0,8,1,1,1,서울,19.2,0,25,,,,,,,,,
4.2수,키움 히어로즈,10,2,0,3,1,2,0,서울,18.7,0,21,,,,,,,,,
4.3목,키움 히어로즈,8,0,1,7,2,0,1,서울,10.1,0,61,,,,,,,,,
4.4금,키움 히어로즈,4,0,2,10,1,0,0,창원,12.2,0,34,,,,,,,,,
4.5토,키움 히어로즈,8,2,0,5,0,0,1,창원,12.8,0,22,,,,,,,,,
4.6일,키움 히어로즈,10,2,1,5,2,0,0,창원,13,0,33,,,,,,,,,
4.8화,키움 히어로즈,13,2,2,8,3,1,0,서울,17.2,0,27,,,,,,,,,
4.9수,키움 히어로즈,12,4,1,10,0,2,1,서울,13.1,0,75,,,,,,,,,
4.10목,키움 히어로즈,11,1,0,4,1,0,1,서울,17.6,0,56,,,,,,,,,
4.11금,키움 히어로즈,9,1,1,4,1,1,1,대전,18,0,53,,,,,,,,,
4.12토,키움 히어로즈,10,3,1,6,0,0,1,대전,17.9,0,60,,,,,,,,,
4.13일,키움 히어로즈,6,1,0,4,0,2,1,대전,19.8,0,32,,,,,,,,,
4.15화,키움 히어로즈,11,1,2,7,1,2,1,서울,15.7,0,71,,,,,,,,,
4.16수,키움 히어로즈,9,1,0,5,0,0,1,서울,18.6,0,63,,,,,,,,,
4.22화,키움 히어로즈,14,0,0,9,0,0,1,서울,20.4,0,24,,,,,,,,,
4.23수,키움 히어로즈,8,1,0,2,0,2,0,서울,22.8,0,32,,,,,,,,,
4.24목,키움 히어로즈,11,2,0,2,0,0,1,서울,23.2,0,22,,,,,,,,,
4.25금,키움 히어로즈,8,1,0,12,0,1,0,서울,23.1,0,22,,,,,,,,,
4.26토,키움 히어로즈,16,3,0,3,0,0,1,서울,20.6,0,35,,,,,,,,,
4.27일,키움 히어로즈,6,0,0,6,1,0,0,서울,16.9,0,70,,,,,,,,,
4.29화,키움 히어로즈,13,0,2,5,1,0,1,서울,16.8,0,62,,,,,,,,,
4.30수,키움 히어로즈,5,0,2,5,0,1,0,서울,19.8,0,54,,,,,,,,,
